1	3871001	3877500
1	4815001	4818000
1	5815501	5820000
1	6222001	6224500
1	9786001	9790000
1	10638001	10641000
1	12148501	12151500
1	12536501	12539000
1	13318001	13320000
1	13437001	13460500
1	13461001	13476500
1	14768001	14770500
1	14771501	14774500
1	14862501	14866000
1	15584001	15588500
1	16397001	16400000
1	16531001	16540000
1	16784501	16788000
1	17076001	17079500
1	18849001	18851000
1	19815501	19818000
1	20134501	20137500
1	24559501	24562500
1	25422001	25435500
1	25439001	25441500
1	25441501	25455000
1	25460501	25463500
1	29824001	29827000
1	31181001	31183500
1	31558001	31560500
1	31715501	31718500
1	31729501	31732000
1	31782501	31785500
1	31874001	31877000
1	32209001	32212000
1	32252501	32254500
1	32408501	32413000
1	32449501	32453500
1	32495501	32499500
1	32635001	32637500
1	33675501	33677500
1	33959501	33962500
1	33968001	33970000
1	34391501	34395000
1	34566501	34568500
1	35592001	35594500
1	37286501	37290500
1	37739001	37743500
1	39273501	39276500
1	39451001	39454000
1	39962501	39967500
1	40102501	40104500
1	40662501	40665500
1	41328501	41339500
1	42302001	42306000
1	42515001	42517500
1	42644001	42646500
1	44833001	44837000
1	45427501	45429500
1	46399001	46404000
1	46408501	46411000
1	46618001	46621000
1	47788501	47791000
1	47836001	47838500
1	48350001	48352000
1	48644501	48646500
1	48789501	48792500
1	48795501	48802500
1	49027001	49029500
1	49363501	49368000
1	50123001	50128000
1	52133501	52136000
1	52485001	52488000
1	53953501	53956000
1	54007001	54010000
1	54510501	54513000
1	54862501	54865500
1	54975001	54977000
1	55243001	55245500
1	56259501	56264500
1	56773501	56776000
1	57290001	57294000
1	57940001	57942500
1	60208501	60211500
1	64880001	64883000
1	65723501	65726000
1	66463501	66466500
1	67488001	67491500
1	68312501	68319500
1	68598001	68603000
1	68618501	68622500
1	69384001	69388000
1	69402001	69409500
1	70572501	70575500
1	70586001	70589000
1	72340001	72342500
1	73291501	73295000
1	74984501	74987000
1	75455001	75459000
1	75531001	75533500
1	77746501	77752500
1	79202001	79204500
1	79646001	79649500
1	80187001	80189500
1	84437501	84440500
1	85303001	85306000
1	87724001	87728500
1	88481501	88485500
1	88492501	88494500
1	88500001	88504500
1	88509001	88511000
1	90998001	91001000
1	92121501	92125500
1	92833001	92836500
1	94610501	94617000
1	94717501	94722000
1	95874001	95877000
1	96512001	96515500
1	96639001	96642000
1	97304001	97306500
1	97960501	97964500
1	97972501	97975000
1	97996001	97998000
1	100446001	100449000
1	100536001	100538500
1	100658001	100665500
1	102424001	102427000
1	102990501	102995500
1	103026501	103030000
1	103191001	103196500
1	103299001	103306000
1	103866501	103869000
1	104267501	104270500
1	104475001	104478000
1	105435001	105438000
1	105759501	105761500
1	105965501	105968500
1	106788001	106791000
1	108490001	108492000
1	110381001	110383000
1	112297501	112299500
1	112551001	112554000
1	112866501	112872000
1	113932501	113936500
1	116120001	116122000
1	116478501	116482500
1	117450501	117453000
1	117491001	117500500
1	120734501	120736500
1	121118501	121121500
1	121131001	121133000
1	121163501	121168000
1	121241501	121245500
1	121590001	121593000
1	121782501	121788000
1	121854501	121858000
1	122270001	122274000
1	122282001	122289500
1	122909001	122912500
1	123165001	123175000
1	123403501	123441500
1	124729001	124732500
1	124902001	124908500
1	125539001	125544000
1	127998001	128000500
1	128853501	128856500
1	132123501	132128000
1	133042501	133045000
1	133444501	133448000
1	133873001	133875500
1	133919501	133922000
1	136644001	136646500
1	136880501	136884000
1	137036001	137039000
1	137077001	137080000
1	137355501	137359500
1	137376501	137379000
1	137403001	137405500
1	137463501	137465500
1	137466001	137469000
1	137779501	137782000
1	138225001	138227500
1	139858001	139862000
1	140518501	140521500
1	140935501	140937500
1	140939501	140941500
1	140945001	140951000
1	144505001	144509000
1	146905001	146909000
1	150139501	150142000
1	150254501	150256500
1	151396501	151399000
1	151483501	151487000
1	152004501	152007000
1	152158001	152163000
1	156122001	156125000
1	156735501	156737500
2	1697501	1699500
2	2479501	2485500
2	2488501	2491500
2	2930001	2932500
2	5522001	5525000
2	6195501	6198500
2	6259501	6262000
2	6813501	6818500
2	8434001	8436500
2	8692501	8695000
2	10460501	10463000
2	11303501	11306000
2	11505501	11508000
2	11552001	11556000
2	11753001	11757000
2	12384001	12386000
2	12541501	12543500
